trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,45609.38671875,False,0.0,24964,2000,15000
1,1,0.0,False,0.0,24964,2000,15000
2,2,52440.27734375,False,0.0,24964,2000,15000
3,3,49782.21484375,True,8.238048553466797,24964,2000,15000
4,0,47051.12109375,False,0.0,24964,2000,15000
5,1,0.0,False,0.0,24964,2000,15000
6,2,49199.4765625,False,0.0,24964,2000,15000
7,3,56588.43359375,True,8.238048553466797,24964,2000,15000
8,0,51644.0859375,False,0.0,24964,2000,15000
9,1,57080.375,False,0.0,24964,2000,15000
10,2,57130.03515625,False,0.0,24964,2000,15000
11,3,46308.3125,True,8.238048553466797,24964,2000,15000
12,0,53014.85546875,False,0.0,24964,2000,15000
13,1,0.0,False,0.0,24964,2000,15000
14,2,57485.4453125,False,0.0,24964,2000,15000
15,3,40952.33984375,True,8.238048553466797,24964,2000,15000
16,0,47798.859375,False,0.0,24964,2000,15000
17,1,0.0,False,0.0,24964,2000,15000
18,2,48254.5859375,False,0.0,24964,2000,15000
19,3,43861.703125,True,8.238048553466797,24964,2000,15000
20,0,46739.76171875,False,0.0,24964,2000,15000
21,1,0.0,False,0.0,24964,2000,15000
22,2,51306.734375,False,0.0,24964,2000,15000
23,3,47900.22265625,True,8.238048553466797,24964,2000,15000
24,0,40686.546875,False,0.0,24964,2000,15000
25,1,45754.0078125,False,0.0,24964,2000,15000
26,2,57629.7109375,False,0.0,24964,2000,15000
27,3,44986.203125,True,8.238048553466797,24964,2000,15000
28,0,51328.41796875,False,0.0,24964,2000,15000
29,1,0.0,False,0.0,24964,2000,15000
30,2,53603.91796875,False,0.0,24964,2000,15000
31,3,49571.265625,True,8.238048553466797,24964,2000,15000
32,0,43766.20703125,False,0.0,24964,2000,15000
33,1,0.0,False,0.0,24964,2000,15000
34,2,53090.59765625,False,0.0,24964,2000,15000
35,3,46848.484375,True,8.238048553466797,24964,2000,15000
36,0,50439.9140625,False,0.0,24964,2000,15000
37,1,0.0,False,0.0,24964,2000,15000
38,2,53342.6171875,False,0.0,24964,2000,15000
39,3,42233.171875,True,8.238048553466797,24964,2000,15000
40,0,47117.66796875,False,0.0,24964,2000,15000
41,1,54479.96484375,False,0.0,24964,2000,15000
42,2,53207.34375,False,0.0,24964,2000,15000
43,3,48255.8125,True,8.238048553466797,24964,2000,15000
44,0,57324.34375,False,0.0,24964,2000,15000
45,1,41749.27734375,False,0.0,24964,2000,15000
46,2,60207.7109375,False,0.0,24964,2000,15000
47,3,43080.1640625,True,8.238048553466797,24964,2000,15000
48,0,49276.90625,False,0.0,24964,2000,15000
49,1,0.0,False,0.0,24964,2000,15000
