trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,67473.9921875,False,0.0,25921,2500,20000
1,1,0.0,False,0.0,25921,2500,20000
2,2,57374.88671875,False,0.0,25921,2500,20000
3,3,73500.015625,True,8.394472122192383,25921,2500,20000
4,0,62237.84375,False,0.0,25921,2500,20000
5,1,0.0,False,0.0,25921,2500,20000
6,2,64740.1484375,False,0.0,25921,2500,20000
7,3,61472.65625,True,8.394472122192383,25921,2500,20000
8,0,61871.19140625,False,0.0,25921,2500,20000
9,1,68511.609375,False,0.0,25921,2500,20000
10,2,64883.2734375,False,0.0,25921,2500,20000
11,3,65408.609375,True,8.394472122192383,25921,2500,20000
12,0,73436.890625,False,0.0,25921,2500,20000
13,1,67130.5390625,False,0.0,25921,2500,20000
14,2,59849.9609375,False,0.0,25921,2500,20000
15,3,66021.9375,True,8.394472122192383,25921,2500,20000
16,0,59877.921875,False,0.0,25921,2500,20000
17,1,61031.9296875,False,0.0,25921,2500,20000
18,2,60384.1484375,False,0.0,25921,2500,20000
19,3,72118.4453125,True,8.394472122192383,25921,2500,20000
20,0,59801.16796875,False,0.0,25921,2500,20000
21,1,0.0,False,0.0,25921,2500,20000
22,2,68240.3125,False,0.0,25921,2500,20000
23,3,66078.578125,True,8.394472122192383,25921,2500,20000
24,0,74093.3125,False,0.0,25921,2500,20000
25,1,0.0,False,0.0,25921,2500,20000
26,2,72862.609375,False,0.0,25921,2500,20000
27,3,69124.8125,True,8.394472122192383,25921,2500,20000
28,0,60017.77734375,False,0.0,25921,2500,20000
29,1,0.0,False,0.0,25921,2500,20000
30,2,57085.41796875,False,0.0,25921,2500,20000
31,3,71809.0859375,True,8.394472122192383,25921,2500,20000
32,0,79387.7734375,False,0.0,25921,2500,20000
33,1,0.0,False,0.0,25921,2500,20000
34,2,74889.265625,False,0.0,25921,2500,20000
35,3,58614.015625,True,8.394472122192383,25921,2500,20000
36,0,57018.4765625,False,0.0,25921,2500,20000
37,1,0.0,False,0.0,25921,2500,20000
38,2,61803.5859375,False,0.0,25921,2500,20000
39,3,65512.66796875,True,8.394472122192383,25921,2500,20000
40,0,63307.94921875,False,0.0,25921,2500,20000
41,1,0.0,False,0.0,25921,2500,20000
42,2,65193.6015625,False,0.0,25921,2500,20000
43,3,63273.37109375,True,8.394472122192383,25921,2500,20000
44,0,65938.3671875,False,0.0,25921,2500,20000
45,1,0.0,False,0.0,25921,2500,20000
46,2,63183.2578125,False,0.0,25921,2500,20000
47,3,70168.7265625,True,8.394472122192383,25921,2500,20000
48,0,59364.0078125,False,0.0,25921,2500,20000
49,1,0.0,False,0.0,25921,2500,20000
50,2,62525.55078125,False,0.0,25921,2500,20000
51,3,74244.375,True,8.394472122192383,25921,2500,20000
52,0,74289.8828125,False,0.0,25921,2500,20000
53,1,0.0,False,0.0,25921,2500,20000
54,2,56694.3828125,False,0.0,25921,2500,20000
55,3,57530.2734375,True,8.394472122192383,25921,2500,20000
56,0,54181.015625,False,0.0,25921,2500,20000
57,1,0.0,False,0.0,25921,2500,20000
58,2,67143.5078125,False,0.0,25921,2500,20000
59,3,62212.28515625,True,8.394472122192383,25921,2500,20000
60,0,57556.08984375,False,0.0,25921,2500,20000
61,1,0.0,False,0.0,25921,2500,20000
62,2,76641.796875,False,0.0,25921,2500,20000
63,3,72270.265625,True,8.394472122192383,25921,2500,20000
64,0,60069.171875,False,0.0,25921,2500,20000
65,1,0.0,False,0.0,25921,2500,20000
66,2,71734.421875,False,0.0,25921,2500,20000
67,3,55564.87890625,True,8.394472122192383,25921,2500,20000
68,0,67927.75,False,0.0,25921,2500,20000
69,1,73277.875,False,0.0,25921,2500,20000
70,2,67939.1015625,False,0.0,25921,2500,20000
71,3,64624.41015625,True,8.394472122192383,25921,2500,20000
72,0,65350.34765625,False,0.0,25921,2500,20000
73,1,0.0,False,0.0,25921,2500,20000
74,2,62067.59765625,False,0.0,25921,2500,20000
75,3,61189.73828125,True,8.394472122192383,25921,2500,20000
76,0,56641.265625,False,0.0,25921,2500,20000
77,1,72832.5078125,False,0.0,25921,2500,20000
78,2,65392.859375,False,0.0,25921,2500,20000
79,3,78572.8984375,True,8.394472122192383,25921,2500,20000
80,0,63364.0,False,0.0,25921,2500,20000
81,1,0.0,False,0.0,25921,2500,20000
82,2,69923.640625,False,0.0,25921,2500,20000
83,3,71298.109375,True,8.394472122192383,25921,2500,20000
84,0,65959.3125,False,0.0,25921,2500,20000
85,1,0.0,False,0.0,25921,2500,20000
86,2,56383.22265625,False,0.0,25921,2500,20000
87,3,66033.453125,True,8.394472122192383,25921,2500,20000
88,0,57764.97265625,False,0.0,25921,2500,20000
89,1,0.0,False,0.0,25921,2500,20000
90,2,68759.6875,False,0.0,25921,2500,20000
91,3,65449.671875,True,8.394472122192383,25921,2500,20000
92,0,64815.3046875,False,0.0,25921,2500,20000
93,1,0.0,False,0.0,25921,2500,20000
94,2,64229.5078125,False,0.0,25921,2500,20000
95,3,61684.48046875,True,8.394472122192383,25921,2500,20000
96,0,74912.71875,False,0.0,25921,2500,20000
97,1,0.0,False,0.0,25921,2500,20000
98,2,78540.9609375,False,0.0,25921,2500,20000
99,3,61094.96875,True,8.394472122192383,25921,2500,20000
