trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,1686.755126953125,False,0.0,961,100,1000
1,1,3762.583984375,False,0.0,961,100,1000
2,2,2904.31787109375,False,0.0,961,100,1000
3,3,3592.09375,True,1.6155332326889038,961,100,1000
4,0,2676.192138671875,False,0.0,961,100,1000
5,1,2948.583740234375,False,0.0,961,100,1000
6,2,2520.562255859375,False,0.0,961,100,1000
7,3,4406.81298828125,True,1.6155332326889038,961,100,1000
8,0,4651.22900390625,False,0.0,961,100,1000
9,1,2339.076171875,False,0.0,961,100,1000
10,2,1753.15771484375,False,0.0,961,100,1000
11,3,1935.14208984375,True,1.6155332326889038,961,100,1000
12,0,2134.37939453125,False,0.0,961,100,1000
13,1,2462.8388671875,False,0.0,961,100,1000
14,2,2314.267822265625,False,0.0,961,100,1000
15,3,2307.792236328125,True,1.6155332326889038,961,100,1000
16,0,2210.50537109375,False,0.0,961,100,1000
17,1,1967.0040283203125,False,0.0,961,100,1000
18,2,2456.5732421875,False,0.0,961,100,1000
19,3,3201.848876953125,True,1.6155332326889038,961,100,1000
20,0,2536.34375,False,0.0,961,100,1000
21,1,0.0,False,0.0,961,100,1000
22,2,5622.68701171875,False,0.0,961,100,1000
23,3,2189.03662109375,True,1.6155332326889038,961,100,1000
24,0,1922.9857177734375,False,0.0,961,100,1000
25,1,2212.461669921875,False,0.0,961,100,1000
26,2,2769.004638671875,False,0.0,961,100,1000
27,3,3903.59423828125,True,1.6155332326889038,961,100,1000
28,0,2524.276123046875,False,0.0,961,100,1000
29,1,0.0,False,0.0,961,100,1000
30,2,2443.805419921875,False,0.0,961,100,1000
31,3,4065.090087890625,True,1.6155332326889038,961,100,1000
32,0,5293.45556640625,False,0.0,961,100,1000
33,1,0.0,False,0.0,961,100,1000
34,2,4505.732421875,False,0.0,961,100,1000
35,3,5805.90966796875,True,1.6155332326889038,961,100,1000
36,0,4064.03515625,False,0.0,961,100,1000
37,1,4730.65087890625,False,0.0,961,100,1000
38,2,2780.5791015625,False,0.0,961,100,1000
39,3,5997.2060546875,True,1.6155332326889038,961,100,1000
40,0,1757.0267333984375,False,0.0,961,100,1000
41,1,2371.27197265625,False,0.0,961,100,1000
42,2,3632.025390625,False,0.0,961,100,1000
43,3,4026.48681640625,True,1.6155332326889038,961,100,1000
44,0,2018.0615234375,False,0.0,961,100,1000
45,1,0.0,False,0.0,961,100,1000
46,2,2304.00537109375,False,0.0,961,100,1000
47,3,2051.141845703125,True,1.6155332326889038,961,100,1000
48,0,2417.0078125,False,0.0,961,100,1000
49,1,4357.48046875,False,0.0,961,100,1000
50,2,4344.42431640625,False,0.0,961,100,1000
51,3,7675.32666015625,True,1.6155332326889038,961,100,1000
52,0,3185.15185546875,False,0.0,961,100,1000
53,1,0.0,False,0.0,961,100,1000
54,2,2832.730224609375,False,0.0,961,100,1000
55,3,2948.888916015625,True,1.6155332326889038,961,100,1000
56,0,2965.640869140625,False,0.0,961,100,1000
57,1,3027.106201171875,False,0.0,961,100,1000
58,2,5445.43798828125,False,0.0,961,100,1000
59,3,1424.39453125,True,1.6155332326889038,961,100,1000
60,0,1768.8544921875,False,0.0,961,100,1000
61,1,2641.090087890625,False,0.0,961,100,1000
62,2,1744.10888671875,False,0.0,961,100,1000
63,3,3099.06787109375,True,1.6155332326889038,961,100,1000
64,0,2346.62890625,False,0.0,961,100,1000
65,1,4720.99072265625,False,0.0,961,100,1000
66,2,1975.7064208984375,False,0.0,961,100,1000
67,3,4493.6865234375,True,1.6155332326889038,961,100,1000
68,0,3564.881103515625,False,0.0,961,100,1000
69,1,6386.48974609375,False,0.0,961,100,1000
70,2,3774.85009765625,False,0.0,961,100,1000
71,3,2554.757080078125,True,1.6155332326889038,961,100,1000
72,0,5855.17919921875,False,0.0,961,100,1000
73,1,1758.73779296875,False,0.0,961,100,1000
74,2,2460.358642578125,False,0.0,961,100,1000
75,3,2000.2335205078125,True,1.6155332326889038,961,100,1000
76,0,1876.23486328125,False,0.0,961,100,1000
77,1,1786.2728271484375,False,0.0,961,100,1000
78,2,2106.48974609375,False,0.0,961,100,1000
79,3,4776.7548828125,True,1.6155332326889038,961,100,1000
80,0,3509.3955078125,False,0.0,961,100,1000
81,1,2438.8583984375,False,0.0,961,100,1000
82,2,2906.693359375,False,0.0,961,100,1000
83,3,3798.005859375,True,1.6155332326889038,961,100,1000
84,0,2200.434326171875,False,0.0,961,100,1000
85,1,2069.232421875,False,0.0,961,100,1000
86,2,3051.767578125,False,0.0,961,100,1000
87,3,4054.13720703125,True,1.6155332326889038,961,100,1000
88,0,4628.31982421875,False,0.0,961,100,1000
89,1,0.0,False,0.0,961,100,1000
90,2,1845.7158203125,False,0.0,961,100,1000
91,3,5924.646484375,True,1.6155332326889038,961,100,1000
92,0,2647.320556640625,False,0.0,961,100,1000
93,1,0.0,False,0.0,961,100,1000
94,2,4379.95068359375,False,0.0,961,100,1000
95,3,5481.380859375,True,1.6155332326889038,961,100,1000
96,0,3967.654541015625,False,0.0,961,100,1000
97,1,0.0,False,0.0,961,100,1000
98,2,2654.973876953125,False,0.0,961,100,1000
99,3,4127.443359375,True,1.6155332326889038,961,100,1000
