trial,has_wave,has_rotation,final_energy,max_amplitude
0,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04052584618330002,0.3033770024776459
1,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.036670342087745667,0.22857610881328583
2,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028686588630080223,0.2112291306257248
3,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.032687120139598846,0.186872661113739
4,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.041943855583667755,0.31711575388908386
5,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.029187381267547607,0.31606778502464294
6,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.026384055614471436,0.18693780899047852
7,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.038790635764598846,0.24474075436592102
8,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.040839336812496185,0.24496214091777802
9,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02832745388150215,0.3654031455516815
10,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03815721720457077,0.1979435384273529
11,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04000719636678696,0.19092857837677002
12,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03587359935045242,0.29769274592399597
13,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02740924060344696,0.27363765239715576
14,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02465021051466465,0.2777453362941742
15,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.042100582271814346,0.22063271701335907
16,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.030735518783330917,0.3213227689266205
17,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03263361006975174,0.23787052929401398
18,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02240079455077648,0.2112196534872055
19,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04457845911383629,0.24789737164974213
20,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.036514535546302795,0.30415090918540955
21,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02715369313955307,0.2821654677391052
22,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03600677102804184,0.19234724342823029
23,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03458893671631813,0.25906166434288025
24,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.026750337332487106,0.3160932958126068
25,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03497276455163956,0.2542210519313812
26,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04645727947354317,0.2797044813632965
27,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03386034816503525,0.2210545539855957
28,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04180760681629181,0.31959792971611023
29,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03222665190696716,0.2399829924106598
30,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.048206448554992676,0.24656732380390167
31,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04794306308031082,0.29775387048721313
32,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04663366079330444,0.26583564281463623
