trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,52943.7734375,False,0.0,25921,2200,15000
1,1,0.0,False,0.0,25921,2200,15000
2,2,51532.09375,False,0.0,25921,2200,15000
3,3,45210.75,True,8.394472122192383,25921,2200,15000
4,0,49437.28515625,False,0.0,25921,2200,15000
5,1,0.0,False,0.0,25921,2200,15000
6,2,59334.23046875,False,0.0,25921,2200,15000
7,3,48814.80078125,True,8.394472122192383,25921,2200,15000
8,0,42761.3203125,False,0.0,25921,2200,15000
9,1,42540.1484375,False,0.0,25921,2200,15000
10,2,53302.51171875,False,0.0,25921,2200,15000
11,3,49968.515625,True,8.394472122192383,25921,2200,15000
12,0,40641.6640625,False,0.0,25921,2200,15000
13,1,50943.703125,False,0.0,25921,2200,15000
14,2,46183.7421875,False,0.0,25921,2200,15000
15,3,57951.12890625,True,8.394472122192383,25921,2200,15000
16,0,44912.4375,False,0.0,25921,2200,15000
17,1,61928.09375,False,0.0,25921,2200,15000
18,2,47605.65234375,False,0.0,25921,2200,15000
19,3,43749.9921875,True,8.394472122192383,25921,2200,15000
20,0,47182.2421875,False,0.0,25921,2200,15000
21,1,0.0,False,0.0,25921,2200,15000
22,2,49189.890625,False,0.0,25921,2200,15000
23,3,48629.05078125,True,8.394472122192383,25921,2200,15000
24,0,51494.95703125,False,0.0,25921,2200,15000
25,1,0.0,False,0.0,25921,2200,15000
26,2,55512.73046875,False,0.0,25921,2200,15000
27,3,42571.66015625,True,8.394472122192383,25921,2200,15000
28,0,42220.0546875,False,0.0,25921,2200,15000
29,1,0.0,False,0.0,25921,2200,15000
30,2,39672.54296875,False,0.0,25921,2200,15000
31,3,44917.515625,True,8.394472122192383,25921,2200,15000
32,0,42075.59375,False,0.0,25921,2200,15000
33,1,0.0,False,0.0,25921,2200,15000
34,2,54717.4140625,False,0.0,25921,2200,15000
35,3,50357.65625,True,8.394472122192383,25921,2200,15000
36,0,66727.703125,False,0.0,25921,2200,15000
37,1,0.0,False,0.0,25921,2200,15000
38,2,55780.2421875,False,0.0,25921,2200,15000
39,3,36996.69140625,True,8.394472122192383,25921,2200,15000
