type,n_nodes,n_edges,density,avg_clustering,transitivity,avg_path_length,avg_degree,degree_std,max_degree,small_world_sigma,rich_club_max,modularity,n_communities,H_mode,PR,R,S_dot,kappa,C
small_world,100,300,0.06060606060606061,0.22647907647907647,0.21065830721003134,2.978989898989899,6.0,1.378404875209022,11,3.2241034997943547,0.07401129943502825,0.5352072078615902,6,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.5513513268166,0.6288706726720108
small_world,100,300,0.06060606060606061,0.22647907647907647,0.21065830721003134,2.978989898989899,6.0,1.378404875209022,11,3.2241034997943547,0.07401129943502825,0.5352072078615902,6,0.9925973684618857,0.9570215125285968,0.166756250979887,0.5121532685672701,0.5584246635900676,0.6373906128255414
small_world,100,300,0.06060606060606061,0.20746031746031746,0.19213696892834495,2.9402020202020203,6.0,1.2409673645990857,10,2.9923182870981764,0.10256410256410256,0.5053782598097032,6,0.993138887144267,0.9591910463025777,0.08967981907173694,0.516438952389683,0.5716160815072058,0.626012957283094
small_world,100,300,0.06060606060606061,0.22398412698412698,0.2140127388535032,2.953939393939394,6.0,1.1832159566199232,9,3.215626373988831,0.21428571428571427,0.5236019138503849,8,0.9930182145519183,0.9574191285223984,0.2595035955292658,0.5081054195570641,0.5806441112851981,0.659738093889169
small_world,100,300,0.06060606060606061,0.20005555555555557,0.17870722433460076,2.9216161616161616,6.0,1.2489995996796797,10,2.903871392144302,0.10114942528735632,0.5028390191320559,7,0.9919396441670245,0.9521291002914178,0.4127960147813191,0.5119119896835749,0.5734483020225801,0.6884450101891834
small_world,100,300,0.06060606060606061,0.21230158730158732,0.20342205323193915,2.946262626262626,6.0,1.2489995996796797,9,3.0558476934347745,0.16666666666666666,0.4841868549189615,7,0.9905361303932608,0.9446729948432167,0.19628530421719895,0.5100610371871673,0.5758056259556765,0.643472218519304
small_world,100,300,0.06060606060606061,0.2281031746031746,0.2031347962382445,2.910707070707071,6.0,1.378404875209022,10,3.3234010208124687,0.12121212121212122,0.4715752614105783,7,0.9922646652313558,0.9542275407086264,0.0711105908935168,0.5067164934861935,0.5896632600896414,0.6227965100818669
small_world,100,300,0.06060606060606061,0.22144444444444444,0.20683111954459202,2.9527272727272726,6.0,1.2727922061357855,10,3.1804705175198946,0.09841269841269841,0.5113325372888212,7,0.9921755856162535,0.9549895337414064,0.17352213707841294,0.5124087558808008,0.5725856642470422,0.6411363353127832
small_world,100,300,0.06060606060606061,0.2425079365079365,0.23282442748091603,3.0109090909090908,6.0,1.2,9,3.4156883111018996,0.08275862068965517,0.5468218397111426,6,0.9938824066129976,0.9638658194706442,0.17068193849615887,0.5127355801193443,0.5494735216652412,0.6381278532728774
small_world,100,300,0.06060606060606061,0.2296904761904762,0.2088607594936709,2.9565656565656564,6.0,1.2649110640673518,9,3.294620379611359,0.12121212121212122,0.5076468895040163,6,0.9909739551352901,0.9469758398174465,0.4055201199276247,0.5050493707305103,0.5719553842618671,0.6840949339745479
scale_free,100,291,0.058787878787878785,0.18697313925063283,0.1143827859569649,2.5684848484848484,5.82,4.992754750636166,33,3.2376262036413856,1.0,0.3388555272910871,8,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7232053323885965,0.6632414737864102
scale_free,100,291,0.058787878787878785,0.14723847002670531,0.10133542812254517,2.601010101010101,5.82,4.782007946459312,27,2.517698678147401,1.0,0.33377883870713143,6,0.9925973684618857,0.9570215125285968,0.166756250979887,0.5121532685672701,0.7562102638500043,0.6769477328775289
scale_free,100,291,0.058787878787878785,0.13505854632844547,0.0995850622406639,2.616969696969697,5.82,4.488607801980476,31,2.2953444757334798,1.0,0.33478789696239575,7,0.993138887144267,0.9591910463025777,0.08967981907173694,0.516438952389683,0.7431594456005405,0.6603216301017609
scale_free,100,291,0.058787878787878785,0.1634019564910537,0.0946048632218845,2.5672727272727274,5.82,4.958588508839992,32,2.8308036030172947,0.7,0.33287158609233725,8,0.9930182145519183,0.9574191285223984,0.2595035955292658,0.5081054195570641,0.7063193749145111,0.6848731466150316
scale_free,100,291,0.058787878787878785,0.18570807018432878,0.10285053929121726,2.561212121212121,5.82,4.885447778863265,33,3.2248515177094763,1.0,0.3336098068611042,8,0.9919396441670245,0.9521291002914178,0.4127960147813191,0.5119119896835749,0.7388746749678374,0.7215302847782349
scale_free,100,291,0.058787878787878785,0.15855509110772267,0.10242792109256449,2.5894949494949495,5.82,4.966648769542699,39,2.723263203066455,1.0,0.31996069517848075,7,0.9905361303932608,0.9446729948432167,0.19628530421719895,0.5100610371871673,0.7223884166744747,0.6727887766630637
scale_free,100,291,0.058787878787878785,0.16377398307479976,0.10128617363344052,2.6105050505050507,5.82,4.659141551831196,29,2.7902612532689557,1.0,0.3361672778264646,9,0.9922646652313558,0.9542275407086264,0.0711105908935168,0.5067164934861935,0.7244098185839938,0.6497458217807373
scale_free,100,291,0.058787878787878785,0.1257865537366445,0.08518518518518518,2.592323232323232,5.82,4.532946061889552,29,2.1580900444086164,1.0,0.3483903782423001,8,0.9921755856162535,0.9549895337414064,0.17352213707841294,0.5124087558808008,0.7585900851834707,0.678337219500069
scale_free,100,291,0.058787878787878785,0.10571961894314835,0.092,2.6676767676767676,5.82,4.116746288028933,25,1.7625720424484037,1.0,0.3462348463298486,7,0.9938824066129976,0.9638658194706442,0.17068193849615887,0.5127355801193443,0.7399319662184793,0.676219542183525
scale_free,100,291,0.058787878787878785,0.11522169880417962,0.08632242806464328,2.5973737373737373,5.82,4.763150218080468,33,1.9729874547011406,1.0,0.3381680353990893,7,0.9909739551352901,0.9469758398174465,0.4055201199276247,0.5050493707305103,0.7483015401738241,0.7193641651569392
random,100,508,0.10262626262626262,0.10974982533806063,0.10667720268668511,2.215959595959596,10.16,2.859090764561349,18,0.958583293171951,0.5,0.24967416744978388,5,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.7162637641290358,0.661853160134498
random,100,507,0.10242424242424242,0.12044309775192127,0.11969339622641509,2.228080808080808,10.14,3.0133702062640757,18,1.0492134484992286,0.3333333333333333,0.2535158840950019,4,0.9925973684618857,0.9570215125285968,0.166756250979887,0.5121532685672701,0.6937150318003805,0.664448686467604
random,100,510,0.10303030303030303,0.0965728947694892,0.10476557978005016,2.223838383838384,10.2,3.1336879231984796,20,0.8357916121363015,1.0,0.23182666137483995,5,0.993138887144267,0.9591910463025777,0.08967981907173694,0.516438952389683,0.6780393826009193,0.6472976175018368
random,100,470,0.09494949494949495,0.10212650258238494,0.1022883295194508,2.2844444444444445,9.4,2.90516780926679,17,0.9676655761478361,0.23809523809523808,0.26433940228018116,5,0.9930182145519183,0.9574191285223984,0.2595035955292658,0.5081054195570641,0.7019970523140943,0.6840086820949483
random,100,485,0.09797979797979799,0.08721598009833303,0.08793324775353016,2.252929292929293,9.7,3.014962686336267,17,0.8008022025632135,0.2857142857142857,0.25352877768602106,6,0.9919396441670245,0.9521291002914178,0.4127960147813191,0.5119119896835749,0.7152430893207136,0.71680396764881
random,100,476,0.09616161616161616,0.09935581085581086,0.1008174386920981,2.272929292929293,9.52,2.64,15,0.928996290102072,0.4,0.24396805724407036,6,0.9905361303932608,0.9446729948432167,0.19628530421719895,0.5100610371871673,0.7205101009107285,0.6724131135103144
random,100,511,0.10323232323232323,0.09170028011204481,0.0941153546375682,2.2094949494949496,10.22,2.900275848949544,18,0.7965384521446636,1.0,0.24436250681657176,5,0.9922646652313558,0.9542275407086264,0.0711105908935168,0.5067164934861935,0.7258301372150288,0.6500298855069443
random,100,500,0.10101010101010101,0.09297201164848223,0.09338036937123885,2.2345454545454544,10.0,2.5258661880630178,18,0.8238122106199932,0.21428571428571427,0.2581582284891894,5,0.9921755856162535,0.9549895337414064,0.17352213707841294,0.5124087558808008,0.7356381409967236,0.6737468306627196
random,100,477,0.09636363636363636,0.10359648684648684,0.10016007317630916,2.2622222222222224,9.54,2.4471207571348006,16,0.9702880683289588,1.0,0.25507296464360146,6,0.9938824066129976,0.9638658194706442,0.17068193849615887,0.5127355801193443,0.7197763361863769,0.6721884161771045
random,100,479,0.09676767676767677,0.09089083465554054,0.09591474245115453,2.272121212121212,9.58,2.8077749197540744,18,0.8424759001494678,0.18181818181818182,0.26116347495319386,5,0.9909739551352901,0.9469758398174465,0.4055201199276247,0.5050493707305103,0.6632027924128081,0.702344415604736
modular,100,517,0.10444444444444445,0.16418972693972694,0.1548680964129816,2.2543434343434345,10.34,2.967220922007662,18,1.3747056252567527,0.5,0.3688615187532418,4,0.9908732207358657,0.9462527310986619,0.1462086723087739,0.5096674124001527,0.6719216861754364,0.6529847445437781
modular,100,570,0.11515151515151516,0.15531286360698127,0.15697122984508377,2.1662626262626263,11.4,2.8213471959331766,18,1.17820474555123,0.3333333333333333,0.38186096932884717,4,0.9925973684618857,0.9570215125285968,0.166756250979887,0.5121532685672701,0.7318901533878128,0.6720837107850905
modular,100,555,0.11212121212121212,0.16529172951231774,0.15865384615384615,2.1955555555555555,11.1,2.9206163733020465,18,1.2846901880880368,0.21794871794871795,0.38359645192439296,4,0.993138887144267,0.9591910463025777,0.08967981907173694,0.516438952389683,0.6979077021196006,0.651271281405573
modular,100,546,0.1103030303030303,0.159733051262463,0.15745568300312826,2.204242424242424,10.92,2.598768939324926,18,1.2655738377136911,0.3333333333333333,0.3819936935122127,4,0.9930182145519183,0.9574191285223984,0.2595035955292658,0.5081054195570641,0.711754808687785,0.6859602333696864
modular,100,508,0.10262626262626262,0.15670777098718275,0.1594664543101732,2.2765656565656567,10.16,2.7192646064699186,17,1.332288283578544,0.16995073891625614,0.4047470707181843,4,0.9919396441670245,0.9521291002914178,0.4127960147813191,0.5119119896835749,0.6811953074650097,0.7099944112776693
modular,100,566,0.11434343434343434,0.1769421460892049,0.17197452229299362,2.1975757575757577,11.32,2.962701469942593,18,1.3363766258711918,0.6666666666666666,0.42012431300077396,4,0.9905361303932608,0.9446729948432167,0.19628530421719895,0.5100610371871673,0.6750374051122712,0.6633185743506229
modular,100,521,0.10525252525252525,0.16254372098489747,0.15401785714285715,2.2436363636363637,10.42,3.0599999999999996,18,1.3524582186747642,0.3333333333333333,0.3919314043431243,4,0.9922646652313558,0.9542275407086264,0.0711105908935168,0.5067164934861935,0.6737616861053594,0.6396161952850103
modular,100,549,0.11090909090909092,0.17844874698744667,0.18101244247485937,2.2391919191919194,10.98,2.7856058586957344,20,1.3810208537634396,0.22875816993464052,0.43572584902269107,4,0.9921755856162535,0.9549895337414064,0.17352213707841294,0.5124087558808008,0.6942673247032956,0.6654726674040339
modular,100,580,0.11717171717171718,0.16648832213538095,0.16218692730604764,2.16020202020202,11.6,2.8284271247461903,18,1.2358566072243087,0.23636363636363636,0.34313521183663886,4,0.9938824066129976,0.9638658194706442,0.17068193849615887,0.5127355801193443,0.6956536632245421,0.6673638815847376
modular,100,528,0.10666666666666667,0.17186700983914605,0.16464757709251102,2.255959595959596,10.56,2.8295582694123826,20,1.395420440385449,0.3333333333333333,0.3892454860356472,4,0.9909739551352901,0.9469758398174465,0.4055201199276247,0.5050493707305103,0.6864987677892523,0.7070036106800249
