trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,57836.4609375,False,0.0,25921,2500,20000
1,1,0.0,False,0.0,25921,2500,20000
2,2,80205.0859375,False,0.0,25921,2500,20000
3,3,60688.6953125,True,8.394472122192383,25921,2500,20000
4,0,49865.12109375,False,0.0,25921,2500,20000
5,1,0.0,False,0.0,25921,2500,20000
6,2,66547.2890625,False,0.0,25921,2500,20000
7,3,54578.953125,True,8.394472122192383,25921,2500,20000
8,0,68600.125,False,0.0,25921,2500,20000
9,1,56455.96875,False,0.0,25921,2500,20000
10,2,67166.8203125,False,0.0,25921,2500,20000
11,3,57120.859375,True,8.394472122192383,25921,2500,20000
12,0,80194.984375,False,0.0,25921,2500,20000
13,1,60932.48828125,False,0.0,25921,2500,20000
14,2,77911.4296875,False,0.0,25921,2500,20000
15,3,52960.98046875,True,8.394472122192383,25921,2500,20000
16,0,52716.109375,False,0.0,25921,2500,20000
17,1,66902.9609375,False,0.0,25921,2500,20000
18,2,62927.96484375,False,0.0,25921,2500,20000
19,3,73891.265625,True,8.394472122192383,25921,2500,20000
20,0,58294.6640625,False,0.0,25921,2500,20000
21,1,0.0,False,0.0,25921,2500,20000
22,2,65816.640625,False,0.0,25921,2500,20000
23,3,66341.1015625,True,8.394472122192383,25921,2500,20000
24,0,64757.00390625,False,0.0,25921,2500,20000
25,1,0.0,False,0.0,25921,2500,20000
26,2,55744.19921875,False,0.0,25921,2500,20000
27,3,66256.109375,True,8.394472122192383,25921,2500,20000
28,0,62796.4140625,False,0.0,25921,2500,20000
29,1,0.0,False,0.0,25921,2500,20000
30,2,73627.109375,False,0.0,25921,2500,20000
31,3,64861.578125,True,8.394472122192383,25921,2500,20000
32,0,56587.8984375,False,0.0,25921,2500,20000
33,1,0.0,False,0.0,25921,2500,20000
34,2,63337.76953125,False,0.0,25921,2500,20000
35,3,61966.9609375,True,8.394472122192383,25921,2500,20000
36,0,67951.84375,False,0.0,25921,2500,20000
37,1,0.0,False,0.0,25921,2500,20000
38,2,57198.4296875,False,0.0,25921,2500,20000
39,3,51065.75390625,True,8.394472122192383,25921,2500,20000
40,0,71080.921875,False,0.0,25921,2500,20000
41,1,0.0,False,0.0,25921,2500,20000
42,2,69359.28125,False,0.0,25921,2500,20000
43,3,70062.7265625,True,8.394472122192383,25921,2500,20000
44,0,57777.65625,False,0.0,25921,2500,20000
45,1,0.0,False,0.0,25921,2500,20000
46,2,68608.984375,False,0.0,25921,2500,20000
47,3,54303.59375,True,8.394472122192383,25921,2500,20000
48,0,69842.1953125,False,0.0,25921,2500,20000
49,1,0.0,False,0.0,25921,2500,20000
50,2,69613.1953125,False,0.0,25921,2500,20000
51,3,61238.15234375,True,8.394472122192383,25921,2500,20000
52,0,59246.89453125,False,0.0,25921,2500,20000
53,1,0.0,False,0.0,25921,2500,20000
54,2,66620.6015625,False,0.0,25921,2500,20000
55,3,57828.55859375,True,8.394472122192383,25921,2500,20000
56,0,64724.71875,False,0.0,25921,2500,20000
57,1,0.0,False,0.0,25921,2500,20000
58,2,66035.1328125,False,0.0,25921,2500,20000
59,3,60139.328125,True,8.394472122192383,25921,2500,20000
60,0,77609.734375,False,0.0,25921,2500,20000
61,1,0.0,False,0.0,25921,2500,20000
62,2,63226.3125,False,0.0,25921,2500,20000
63,3,66690.71875,True,8.394472122192383,25921,2500,20000
64,0,54242.13671875,False,0.0,25921,2500,20000
65,1,0.0,False,0.0,25921,2500,20000
66,2,51807.921875,False,0.0,25921,2500,20000
67,3,58759.39453125,True,8.394472122192383,25921,2500,20000
68,0,62870.1015625,False,0.0,25921,2500,20000
69,1,69111.09375,False,0.0,25921,2500,20000
70,2,64865.28515625,False,0.0,25921,2500,20000
71,3,67169.0859375,True,8.394472122192383,25921,2500,20000
72,0,69059.484375,False,0.0,25921,2500,20000
73,1,0.0,False,0.0,25921,2500,20000
74,2,74150.0703125,False,0.0,25921,2500,20000
75,3,70427.6640625,True,8.394472122192383,25921,2500,20000
76,0,70247.7265625,False,0.0,25921,2500,20000
77,1,59419.40234375,False,0.0,25921,2500,20000
78,2,69077.9140625,False,0.0,25921,2500,20000
79,3,55948.58203125,True,8.394472122192383,25921,2500,20000
80,0,59131.98828125,False,0.0,25921,2500,20000
81,1,0.0,False,0.0,25921,2500,20000
82,2,68378.875,False,0.0,25921,2500,20000
83,3,67242.7578125,True,8.394472122192383,25921,2500,20000
84,0,66942.2890625,False,0.0,25921,2500,20000
85,1,0.0,False,0.0,25921,2500,20000
86,2,63819.875,False,0.0,25921,2500,20000
87,3,71316.9140625,True,8.394472122192383,25921,2500,20000
88,0,62451.58984375,False,0.0,25921,2500,20000
89,1,0.0,False,0.0,25921,2500,20000
90,2,62015.87109375,False,0.0,25921,2500,20000
91,3,60300.39453125,True,8.394472122192383,25921,2500,20000
92,0,73437.171875,False,0.0,25921,2500,20000
93,1,0.0,False,0.0,25921,2500,20000
94,2,62168.41796875,False,0.0,25921,2500,20000
95,3,70021.796875,True,8.394472122192383,25921,2500,20000
96,0,68775.1640625,False,0.0,25921,2500,20000
97,1,0.0,False,0.0,25921,2500,20000
98,2,78127.4140625,False,0.0,25921,2500,20000
99,3,68825.375,True,8.394472122192383,25921,2500,20000
