trial,wave_type,rotation_angle,has_wave,wave_speed,n_nodes,n_modes,timesteps
0,0,48588.171875,False,0.0,25921,2200,15000
1,1,0.0,False,0.0,25921,2200,15000
2,2,50799.05078125,False,0.0,25921,2200,15000
3,3,49012.01953125,True,8.394472122192383,25921,2200,15000
4,0,50533.1484375,False,0.0,25921,2200,15000
5,1,0.0,False,0.0,25921,2200,15000
6,2,61594.16796875,False,0.0,25921,2200,15000
7,3,42367.59375,True,8.394472122192383,25921,2200,15000
8,0,47730.59375,False,0.0,25921,2200,15000
9,1,51361.50390625,False,0.0,25921,2200,15000
10,2,44199.34375,False,0.0,25921,2200,15000
11,3,42111.359375,True,8.394472122192383,25921,2200,15000
12,0,46610.9375,False,0.0,25921,2200,15000
13,1,40550.6328125,False,0.0,25921,2200,15000
14,2,45822.6640625,False,0.0,25921,2200,15000
15,3,42561.9375,True,8.394472122192383,25921,2200,15000
16,0,46565.7890625,False,0.0,25921,2200,15000
17,1,47323.41796875,False,0.0,25921,2200,15000
18,2,48293.2421875,False,0.0,25921,2200,15000
19,3,47370.55078125,True,8.394472122192383,25921,2200,15000
20,0,39169.86328125,False,0.0,25921,2200,15000
21,1,0.0,False,0.0,25921,2200,15000
22,2,46284.02734375,False,0.0,25921,2200,15000
23,3,49256.55859375,True,8.394472122192383,25921,2200,15000
24,0,50565.671875,False,0.0,25921,2200,15000
25,1,0.0,False,0.0,25921,2200,15000
26,2,51362.59765625,False,0.0,25921,2200,15000
27,3,44435.5703125,True,8.394472122192383,25921,2200,15000
28,0,41368.4453125,False,0.0,25921,2200,15000
29,1,0.0,False,0.0,25921,2200,15000
30,2,42957.125,False,0.0,25921,2200,15000
31,3,49222.2734375,True,8.394472122192383,25921,2200,15000
32,0,43615.9296875,False,0.0,25921,2200,15000
33,1,0.0,False,0.0,25921,2200,15000
34,2,53610.7578125,False,0.0,25921,2200,15000
35,3,49109.13671875,True,8.394472122192383,25921,2200,15000
36,0,49981.48828125,False,0.0,25921,2200,15000
37,1,0.0,False,0.0,25921,2200,15000
38,2,53688.4921875,False,0.0,25921,2200,15000
39,3,50518.05078125,True,8.394472122192383,25921,2200,15000
